Feature Name,Importance Mean,Importance Standard Deviation,Absolute Importance Mean,Selected Feature Set,Selected Candidate Name,Calibration Method,Calibration Intercept,Scoring Method,Repeat Count,Diagnostic Note,Inferred Feature Group
rolling2_gap_mean,0.03441497710582954,0.018022242282949755,0.03441497710582954,full_without_economic,rbf_standard_C1.0_eps0.1_gamma0.01,mean_residual,0.6659344803565374,manual_neg_mean_absolute_error_with_selected_calibration,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,completion_history
living_quarters_per_household,0.022348113497046802,0.013208405896784826,0.022348113497046802,full_without_economic,rbf_standard_C1.0_eps0.1_gamma0.01,mean_residual,0.6659344803565374,manual_neg_mean_absolute_error_with_selected_calibration,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,household
households_per_living_quarter,0.02155416455422703,0.013094443141480686,0.02155416455422703,full_without_economic,rbf_standard_C1.0_eps0.1_gamma0.01,mean_residual,0.6659344803565374,manual_neg_mean_absolute_error_with_selected_calibration,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,household
completion_gap_from_malaysia,0.021463844331085464,0.0320609678983541,0.021463844331085464,full_without_economic,rbf_standard_C1.0_eps0.1_gamma0.01,mean_residual,0.6659344803565374,manual_neg_mean_absolute_error_with_selected_calibration,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,completion_history
students_per_teacher,-0.019528132229670758,0.022587062067254776,0.019528132229670758,full_without_economic,rbf_standard_C1.0_eps0.1_gamma0.01,mean_residual,0.6659344803565374,manual_neg_mean_absolute_error_with_selected_calibration,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,education_capacity
lag1_completion_rate,-0.01809025408525151,0.021976673385034912,0.01809025408525151,full_without_economic,rbf_standard_C1.0_eps0.1_gamma0.01,mean_residual,0.6659344803565374,manual_neg_mean_absolute_error_with_selected_calibration,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,completion_history
teachers_growth_1y,0.017920376235263206,0.004384633560588384,0.017920376235263206,full_without_economic,rbf_standard_C1.0_eps0.1_gamma0.01,mean_residual,0.6659344803565374,manual_neg_mean_absolute_error_with_selected_calibration,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,education_capacity
students_per_school,0.01753510787746541,0.01497454613131618,0.01753510787746541,full_without_economic,rbf_standard_C1.0_eps0.1_gamma0.01,mean_residual,0.6659344803565374,manual_neg_mean_absolute_error_with_selected_calibration,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,education_capacity
is_federal_territory,0.0162833715893986,0.01084686202485651,0.0162833715893986,full_without_economic,rbf_standard_C1.0_eps0.1_gamma0.01,mean_residual,0.6659344803565374,manual_neg_mean_absolute_error_with_selected_calibration,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,demographic
sex,-0.01605484257547808,0.01702049572895713,0.01605484257547808,full_without_economic,rbf_standard_C1.0_eps0.1_gamma0.01,mean_residual,0.6659344803565374,manual_neg_mean_absolute_error_with_selected_calibration,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,categorical
lag1_completion_gap_from_malaysia,0.01384837206160084,0.010889507755949901,0.01384837206160084,full_without_economic,rbf_standard_C1.0_eps0.1_gamma0.01,mean_residual,0.6659344803565374,manual_neg_mean_absolute_error_with_selected_calibration,30,Post-evaluation held-out feature influence diagnostic only; not used for model selection.,completion_history
